<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.20	1.07662	1.08386	1.07192	1.07393	162046	118458792564	0
2016.01.21	1.07298	1.07749	1.06836	1.07114	158036	112450461853	34
2016.01.22	1.07129	1.08339	1.06982	1.07825	126739	93075820739	0
2016.01.25	1.07767	1.08269	1.07348	1.07683	118848	91322342935	0
2016.01.26	1.07683	1.08112	1.07503	1.07744	122310	95250018003	0
2016.01.27	1.07744	1.09278	1.07473	1.09213	155051	118860674994	0
2016.01.28	1.09148	1.09661	1.08975	1.09265	139031	101554898020	16
2016.01.29	1.09201	1.09717	1.08968	1.09180	158733	120165935919	51
2016.02.01	1.09039	1.09427	1.08380	1.08585	122595	86470693870	51
2016.02.02	1.08543	1.09036	1.07689	1.08003	130721	98737375034	51
2016.02.03	1.08004	1.08044	1.06477	1.07406	146465	111664301565	40
2016.02.04	1.07368	1.07863	1.06874	1.07042	143449	130800000626	17
2016.02.05	1.07042	1.07437	1.06467	1.06485	125193	107311890000	0
2016.02.08	1.06656	1.07158	1.06607	1.06897	125010	97841400000	51
2016.02.09	1.06862	1.07114	1.05870	1.06526	152510	119084578000	0
2016.02.10	1.06475	1.06857	1.06049	1.06090	151153	113137568000	0
2016.02.11	1.06077	1.06605	1.05689	1.05797	171238	117064230000	0
2016.02.12	1.05795	1.07354	1.05646	1.06829	133604	91528477000	51
2016.02.15	1.07254	1.07625	1.07074	1.07308	138159	95264349000	51
2016.02.16	1.07292	1.08709	1.07244	1.08042	141000	101865186000	51
2016.02.17	1.08042	1.08321	1.07731	1.08239	136591	89531298000	0
2016.02.18	1.08239	1.08270	1.07404	1.07678	128123	80299795000	0
2016.02.19	1.07677	1.07795	1.07204	1.07736	113925	76806350000	0
2016.02.22	1.07636	1.07960	1.07424	1.07829	115773	71337951000	0
2016.02.23	1.07808	1.08461	1.07682	1.08348	125000	89068100000	0
2016.02.24	1.08356	1.08720	1.07951	1.07994	134659	101984590000	51
2016.02.25	1.07986	1.08076	1.07492	1.07573	133715	95449450000	51
2016.02.26	1.07550	1.07644	1.06688	1.07347	124925	84279748000	51
2016.02.29	1.08059	1.08551	1.07888	1.08299	134208	90172394000	0
2016.03.01	1.08266	1.08504	1.07616	1.08146	139289	91387998000	0
2016.03.02	1.08171	1.09719	1.07956	1.09229	158169	135350522500	0
2016.03.03	1.09160	1.09576	1.09004	1.09246	144006	110267683000	0
2016.03.04	1.09263	1.09525	1.08913	1.08965	138851	90521770000	51
2016.03.07	1.09017	1.10252	1.08898	1.09783	115213	81013275000	0
2016.03.08	1.09777	1.10361	1.09542	1.10235	126150	89870284500	0
2016.03.09	1.10205	1.12637	1.09910	1.12449	139572	90999098000	0
2016.03.10	1.12452	1.12825	1.11478	1.11736	159951	101951430000	51
2016.03.11	1.11796	1.12419	1.11414	1.12010	123977	74765949000	51
2016.03.14	1.12119	1.12671	1.11891	1.12524	132615	83928312000	0
2016.03.15	1.12519	1.13138	1.12102	1.12854	124738	76628048000	34
2016.03.16	1.12852	1.13158	1.11573	1.11819	122886	76909738000	0
2016.03.17	1.11820	1.12576	1.11440	1.11682	154239	88328376000	0
2016.03.18	1.11679	1.12200	1.11556	1.11790	125199	77012935000	0
2016.03.21	1.11840	1.12406	1.11803	1.11959	122615	77953709000	0
2016.03.22	1.11982	1.12963	1.11871	1.12790	128169	75815278000	0
2016.03.23	1.12786	1.13314	1.12124	1.12295	112953	64968636000	0
2016.03.24	1.12298	1.12380	1.11818	1.12257	101508	60949510000	51
2016.03.25	1.12244	1.12475	1.11986	1.12016	60468	43321554000	0
2016.03.28	1.12344	1.12503	1.11997	1.12188	60900	45846423000	0
2016.03.29	1.12144	1.12188	1.11042	1.11283	132148	102523347000	51
2016.03.30	1.11209	1.11416	1.10436	1.10769	157580	114879542000	0
2016.03.31	1.10767	1.11046	1.10619	1.10793	134489	85624844000	0
2016.04.01	1.10787	1.11394	1.10698	1.11108	125490	93500005000	0
2016.04.04	1.11240	1.11377	1.10760	1.11207	109523	73399375000	51
2016.04.05	1.11217	1.11995	1.10674	1.10857	134843	103443895000	51
2016.04.06	1.10795	1.11396	1.10747	1.11266	126162	84082668000	34
2016.04.07	1.11258	1.11626	1.10649	1.10713	141284	97739857000	0
2016.04.08	1.10709	1.11285	1.10639	1.10723	114075	80810864000	51
2016.04.11	1.10694	1.11033	1.10491	1.10709	114900	73283420000	0
2016.04.12	1.10681	1.11226	1.10505	1.10918	125777	86807164000	0
2016.04.13	1.10918	1.11034	1.10321	1.10568	133058	94602994000	0
2016.04.14	1.10550	1.12372	1.10520	1.12357	127085	86226770000	0
2016.04.15	1.12357	1.12357	1.11240	1.11493	113720	85395482000	0
2016.04.18	1.11054	1.11837	1.10616	1.11471	131433	88002527000	0
2016.04.19	1.11476	1.11476	1.10699	1.10860	113061	72785983002	0
2016.04.20	1.10851	1.11880	1.10745	1.11666	125232	72002570000	0
2016.04.21	1.11615	1.12339	1.11576	1.11891	129133	85793928000	0
2016.04.22	1.11881	1.12640	1.11870	1.12421	112186	72408676040	0
2016.04.25	1.12245	1.12694	1.12074	1.12462	82617	56782999000	0
2016.04.26	1.12463	1.12507	1.11968	1.12258	96492	62667288000	0
2016.04.27	1.12225	1.12496	1.10553	1.10766	120739	80597789000	0
2016.04.28	1.09973	1.10218	1.09218	1.09475	120855	77316841000	0
2016.04.29	1.09438	1.09924	1.08767	1.08919	104959	77629241000	51
2016.05.02	1.08838	1.09244	1.08416	1.09159	97457	74304969000	0
2016.05.03	1.09101	1.09471	1.07873	1.08204	133450	95819404000	0
2016.05.04	1.08169	1.08891	1.08021	1.08256	136494	94737910000	0
2016.05.05	1.08274	1.08725	1.08255	1.08403	106419	76746049000	0
2016.05.06	1.08376	1.08554	1.07337	1.07603	116713	81056022000	0
2016.05.09	1.07587	1.08205	1.07485	1.08044	95607	66257108000	48
2016.05.10	1.08034	1.09189	1.07914	1.08905	108775	82041730000	0
2016.05.11	1.08767	1.08823	1.07955	1.08088	107973	93344869000	0
2016.05.12	1.08118	1.08164	1.07222	1.07330	104194	100680610000	0
2016.05.13	1.07332	1.07429	1.06997	1.07213	111560	104585894000	51
2016.05.16	1.07129	1.07807	1.07085	1.07315	86687	81471210000	51
2016.05.17	1.07311	1.08048	1.07239	1.07484	108677	101073853000	0
2016.05.18	1.07492	1.07685	1.07128	1.07217	120801	96524278000	0
2016.05.19	1.07213	1.07317	1.06499	1.07143	118471	86284306000	0
2016.05.20	1.07160	1.07209	1.06617	1.06643	82215	61248750000	0
2016.05.23	1.06484	1.06834	1.06177	1.06746	91487	71485632000	0
2016.05.24	1.06768	1.07318	1.06292	1.06557	102490	74278332000	0
2016.05.25	1.06565	1.06936	1.06267	1.06735	102927	82706628000	0
2016.05.26	1.06699	1.07457	1.06617	1.07160	97466	76318870000	0
2016.05.27	1.07151	1.07335	1.06926	1.07245	80048	61405899000	0
2016.05.30	1.07231	1.07365	1.06992	1.07242	62003	46201132000	51
2016.05.31	1.07261	1.07740	1.06732	1.06859	106950	97940996000	0
2016.06.01	1.06848	1.07372	1.06243	1.06393	122346	110790231000	0
2016.06.02	1.06382	1.06469	1.05858	1.06107	110635	103307603000	0
2016.06.03	1.06081	1.06221	1.05243	1.05847	116081	105130456698	0
2016.06.06	1.05951	1.06416	1.05605	1.06354	104284	99091584000	51
2016.06.07	1.06276	1.07369	1.06276	1.06806	102781	90997879000	51
