<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.11.23	19:00:00	0.70090	0.70209	0.70090	0.70200	5051	6679450000	7
2015.11.23	20:00:00	0.70201	0.70213	0.70149	0.70202	3917	4489700000	7
2015.11.23	21:00:00	0.70201	0.70280	0.70171	0.70268	4187	4891250000	7
2015.11.23	22:00:00	0.70269	0.70315	0.70261	0.70311	3508	4139279000	7
2015.11.23	23:00:00	0.70311	0.70349	0.70297	0.70319	2506	2539650000	7
2015.11.24	00:00:00	0.70326	0.70326	0.70276	0.70307	3263	3477850000	12
2015.11.24	01:00:00	0.70306	0.70337	0.70293	0.70315	3800	4014500000	8
2015.11.24	02:00:00	0.70316	0.70352	0.70293	0.70310	4573	4958700000	7
2015.11.24	03:00:00	0.70310	0.70335	0.70286	0.70318	4278	4227200000	8
2015.11.24	04:00:00	0.70318	0.70335	0.70273	0.70282	2833	2891950000	8
2015.11.24	05:00:00	0.70281	0.70288	0.70249	0.70252	3090	4214700000	9
2015.11.24	06:00:00	0.70252	0.70264	0.70201	0.70229	3014	3393400000	7
2015.11.24	07:00:00	0.70229	0.70239	0.70173	0.70231	3633	3795000000	7
2015.11.24	08:00:00	0.70232	0.70240	0.70172	0.70177	3169	4174045000	7
2015.11.24	09:00:00	0.70177	0.70260	0.70147	0.70239	5552	7040600000	7
2015.11.24	10:00:00	0.70239	0.70481	0.70238	0.70452	7647	9126850000	7
2015.11.24	11:00:00	0.70453	0.70524	0.70355	0.70357	7406	8657898000	7
2015.11.24	12:00:00	0.70358	0.70478	0.70331	0.70420	7720	9091946000	7
2015.11.24	13:00:00	0.70419	0.70473	0.70401	0.70443	5732	7191150000	7
2015.11.24	14:00:00	0.70443	0.70627	0.70421	0.70598	6745	9064493000	7
2015.11.24	15:00:00	0.70598	0.70743	0.70591	0.70712	8888	11570891000	7
2015.11.24	16:00:00	0.70711	0.70795	0.70566	0.70586	8674	10622799000	7
2015.11.24	17:00:00	0.70588	0.70658	0.70569	0.70607	8764	11069450000	7
2015.11.24	18:00:00	0.70608	0.70762	0.70575	0.70743	7896	11351324000	7
2015.11.24	19:00:00	0.70743	0.70761	0.70628	0.70639	4980	6855250000	7
2015.11.24	20:00:00	0.70638	0.70682	0.70525	0.70584	4717	5822550000	7
2015.11.24	21:00:00	0.70584	0.70642	0.70560	0.70608	5082	6804550000	7
2015.11.24	22:00:00	0.70608	0.70624	0.70547	0.70591	3231	4406350000	7
2015.11.24	23:00:00	0.70592	0.70616	0.70526	0.70529	3541	4131600000	7
2015.11.25	00:00:00	0.70543	0.70592	0.70484	0.70563	3450	3422950000	10
2015.11.25	01:00:00	0.70562	0.70581	0.70539	0.70574	3894	4576350000	8
2015.11.25	02:00:00	0.70573	0.70660	0.70568	0.70601	4470	5156050000	8
2015.11.25	03:00:00	0.70601	0.70655	0.70591	0.70655	4287	5439700000	7
2015.11.25	04:00:00	0.70654	0.70691	0.70608	0.70631	4395	5118050000	7
2015.11.25	05:00:00	0.70631	0.70655	0.70606	0.70647	3482	3694400000	7
2015.11.25	06:00:00	0.70647	0.70657	0.70556	0.70570	3746	4799200000	7
2015.11.25	07:00:00	0.70571	0.70615	0.70548	0.70562	3640	4426250000	7
2015.11.25	08:00:00	0.70563	0.70612	0.70558	0.70603	4138	5728800000	7
2015.11.25	09:00:00	0.70603	0.70793	0.70596	0.70786	7088	7923824000	7
