<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.08.15	16:00:00	112.977	113.290	112.918	113.178	27809	26636380000	9
2016.08.15	20:00:00	113.178	113.249	113.125	113.227	10438	9027501000	9
2016.08.16	00:00:00	113.215	113.272	112.995	112.997	11417	10164650000	0
2016.08.16	04:00:00	112.997	113.017	112.365	112.574	22256	21598950000	9
2016.08.16	08:00:00	112.575	113.075	112.356	112.879	36579	34386500000	9
2016.08.16	12:00:00	112.879	112.987	112.445	112.795	37427	36120489000	9
2016.08.16	16:00:00	112.794	113.247	112.765	113.051	38570	40889333000	9
2016.08.16	20:00:00	113.051	113.125	112.888	113.115	13605	11761248000	9
2016.08.17	00:00:00	113.072	113.512	112.937	113.445	17569	17103350000	9
2016.08.17	04:00:00	113.447	113.715	113.294	113.599	20279	21270748000	9
2016.08.17	08:00:00	113.595	113.928	113.441	113.508	31258	31102245000	9
2016.08.17	12:00:00	113.508	113.594	113.415	113.518	22977	19757657000	9
2016.08.17	16:00:00	113.518	113.532	112.822	113.073	34449	32868608000	9
2016.08.17	20:00:00	113.072	113.280	112.934	113.156	27586	29983400000	9
2016.08.18	00:00:00	113.156	113.184	112.640	112.804	22248	20680005000	0
2016.08.18	04:00:00	112.814	113.396	112.697	113.215	26164	25279900000	9
2016.08.18	08:00:00	113.218	113.481	112.907	113.439	32234	28205960000	9
2016.08.18	12:00:00	113.440	113.700	113.370	113.631	31417	32086861000	9
2016.08.18	16:00:00	113.631	113.659	113.318	113.325	29561	28218100000	9
2016.08.18	20:00:00	113.325	113.612	113.182	113.392	18730	18541250000	9
2016.08.19	00:00:00	113.392	113.874	113.334	113.765	19890	17031200000	0
2016.08.19	04:00:00	113.765	113.845	113.516	113.740	22085	19022700000	9
2016.08.19	08:00:00	113.740	113.763	113.225	113.298	28139	20170600000	9
2016.08.19	12:00:00	113.298	113.607	113.245	113.534	28236	25810291000	9
2016.08.19	16:00:00	113.535	113.574	113.224	113.414	30880	28883592000	9
2016.08.19	20:00:00	113.413	113.513	113.370	113.472	12650	13074900000	9
2016.08.22	00:00:00	113.916	113.959	113.452	113.578	23943	23579678000	0
2016.08.22	04:00:00	113.576	113.779	113.500	113.725	21933	18661747000	9
2016.08.22	08:00:00	113.726	113.820	113.536	113.769	31023	30031600000	9
2016.08.22	12:00:00	113.768	113.778	113.404	113.424	27955	25579348000	9
2016.08.22	16:00:00	113.425	113.659	113.400	113.562	31182	25841937000	9
2016.08.22	20:00:00	113.562	113.602	113.464	113.556	12545	8907450000	9
2016.08.23	00:00:00	113.546	113.643	113.332	113.411	16883	13747679000	9
2016.08.23	04:00:00	113.410	113.722	113.388	113.473	18791	16313142000	9
2016.08.23	08:00:00	113.472	113.670	113.334	113.526	30293	24816498000	9
2016.08.23	12:00:00	113.526	113.570	113.398	113.422	24934	18424996000	9
2016.08.23	16:00:00	113.424	113.470	113.277	113.421	30330	21078500000	9
2016.08.23	20:00:00	113.419	113.432	113.218	113.319	13326	8732249000	9
2016.08.24	00:00:00	113.317	113.579	113.103	113.444	14104	12048700000	0
2016.08.24	04:00:00	113.442	113.468	113.299	113.376	18563	15905450000	9
2016.08.24	08:00:00	113.375	113.455	113.070	113.132	27394	21728895000	9
2016.08.24	12:00:00	113.134	113.136	112.784	112.962	26910	22350400000	9
2016.08.24	16:00:00	112.962	113.242	112.906	113.197	31309	28638185000	9
2016.08.24	20:00:00	113.198	113.207	113.096	113.131	14012	11679050000	9
2016.08.25	00:00:00	113.130	113.325	112.928	113.189	13779	12021597000	9
2016.08.25	04:00:00	113.189	113.287	113.175	113.255	14374	11746900000	9
2016.08.25	08:00:00	113.255	113.323	113.094	113.245	22581	19503240000	9
2016.08.25	12:00:00	113.250	113.575	113.232	113.553	24083	20086186000	9
2016.08.25	16:00:00	113.553	113.559	113.358	113.379	27615	25195498000	9
2016.08.25	20:00:00	113.377	113.480	113.377	113.415	12558	9549850000	9
2016.08.26	00:00:00	113.413	113.526	113.340	113.392	12222	9217400000	9
2016.08.26	04:00:00	113.392	113.481	113.376	113.442	12471	11134596000	9
2016.08.26	08:00:00	113.443	113.569	113.326	113.395	22716	17741629000	9
2016.08.26	12:00:00	113.397	113.461	113.238	113.280	22145	18724650000	9
2016.08.26	16:00:00	113.279	113.904	113.146	113.782	56976	55325611000	9
2016.08.26	20:00:00	113.782	114.129	113.765	113.854	28184	25634749000	9
2016.08.29	00:00:00	114.140	114.291	113.929	114.104	19033	17683350000	0
2016.08.29	04:00:00	114.104	114.566	114.081	114.546	20321	18590995000	9
2016.08.29	08:00:00	114.546	114.686	114.246	114.313	24612	22684318000	9
2016.08.29	12:00:00	114.313	114.381	114.128	114.187	22440	17230923000	9
2016.08.29	16:00:00	114.186	114.277	114.007	114.162	31175	25433744000	9
2016.08.29	20:00:00	114.161	114.228	113.950	114.027	15536	12438550000	9
2016.08.30	00:00:00	113.997	114.122	113.848	113.999	15663	13347999000	0
2016.08.30	04:00:00	113.998	114.201	113.965	114.096	17452	16531275000	9
2016.08.30	08:00:00	114.095	114.385	114.033	114.236	24510	22815794000	9
2016.08.30	12:00:00	114.236	114.440	114.154	114.402	27131	22474389000	9
2016.08.30	16:00:00	114.400	114.932	114.350	114.876	35430	30877104000	9
2016.08.30	20:00:00	114.873	114.904	114.672	114.720	17047	14561829000	9
2016.08.31	00:00:00	114.677	114.966	114.594	114.876	15382	13368750000	0
2016.08.31	04:00:00	114.874	114.962	114.754	114.900	19108	19407650000	9
2016.08.31	08:00:00	114.899	115.089	114.870	114.933	28965	22873157000	9
2016.08.31	12:00:00	114.942	115.187	114.883	115.173	26070	19219567000	9
2016.08.31	16:00:00	115.173	115.342	115.020	115.236	37006	28907803000	9
2016.08.31	20:00:00	115.238	115.429	115.226	115.378	15781	12576543000	9
2016.09.01	00:00:00	115.355	115.389	115.068	115.103	14995	12097448000	0
2016.09.01	04:00:00	115.099	115.249	115.019	115.166	16448	15341350000	9
2016.09.01	08:00:00	115.167	115.451	115.085	115.388	29778	22897476000	9
2016.09.01	12:00:00	115.387	115.736	115.311	115.718	29021	24995900000	9
2016.09.01	16:00:00	115.717	115.821	115.414	115.649	42687	33534948000	9
2016.09.01	20:00:00	115.650	115.743	115.566	115.579	17141	13872249000	9
2016.09.02	00:00:00	115.576	115.708	115.488	115.645	14410	11380200000	0
2016.09.02	04:00:00	115.645	115.794	115.610	115.727	17634	15626046000	9
2016.09.02	08:00:00	115.727	116.047	115.707	115.860	27447	25516343000	9
2016.09.02	12:00:00	115.859	116.038	115.502	115.938	32341	27249696000	9
