<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.10.26	0.88012	0.89106	0.87547	0.87934	383406	0	1
2014.11.02	0.87575	0.87613	0.85402	0.86341	527161	0	1
2014.11.09	0.86416	0.87687	0.85902	0.87486	424949	0	1
2014.11.16	0.87567	0.87954	0.85657	0.86617	384148	0	1
2014.11.23	0.86765	0.87004	0.84792	0.85033	299896	26779890000	3
2014.11.30	0.84683	0.85418	0.83018	0.83018	309485	0	1
2014.12.07	0.83025	0.83752	0.82149	0.82418	351811	383948444700	1
2014.12.14	0.82429	0.82742	0.81068	0.81174	350899	388842447000	0
2014.12.21	0.81420	0.81727	0.80873	0.81167	522903	994613171000	0
2014.12.28	0.81224	0.82152	0.80770	0.80878	210245	207247473000	0
2015.01.04	0.80696	0.82073	0.80321	0.81987	422077	0	8
2015.01.11	0.82091	0.82939	0.80675	0.82207	473854	0	8
2015.01.18	0.82185	0.82419	0.78800	0.79086	234606	0	7
2015.01.25	0.78813	0.80244	0.77192	0.77573	249970	5506816000	1
2015.02.01	0.77545	0.78751	0.76255	0.77904	366589	0	2
2015.02.08	0.77607	0.78411	0.76437	0.77596	306861	0	7
2015.02.15	0.77740	0.78484	0.77415	0.78401	319187	0	1
2015.02.22	0.78455	0.79126	0.77393	0.78065	312487	0	7
2015.03.01	0.78024	0.78599	0.77060	0.77155	299767	0	7
2015.03.08	0.77102	0.77395	0.75601	0.76331	326303	0	5
2015.03.15	0.76264	0.78462	0.75906	0.77687	342935	0	1
2015.03.22	0.77975	0.79377	0.77444	0.77463	354206	0	7
2015.03.29	0.77326	0.77466	0.75323	0.76343	276863	0	6
2015.04.05	0.76353	0.77381	0.75764	0.76789	265530	0	4
2015.04.12	0.76789	0.78419	0.75525	0.77849	348581	0	4
2015.04.19	0.77849	0.78401	0.76825	0.78193	453600	0	4
2015.04.26	0.78195	0.80753	0.77909	0.78435	557148	0	6
2015.05.03	0.78299	0.80299	0.77978	0.79323	147279	0	1
2015.05.10	0.79177	0.81626	0.78753	0.80364	382067	0	7
2015.05.17	0.80366	0.80513	0.78093	0.78293	435643	0	8
2015.05.24	0.78233	0.78388	0.76168	0.76417	472436	0	7
2015.05.31	0.76354	0.78178	0.75971	0.76144	559137	0	2
2015.06.07	0.76243	0.77922	0.76024	0.77319	661438	0	6
2015.06.14	0.77373	0.78477	0.76445	0.77702	514276	0	6
2015.06.21	0.77650	0.77959	0.76297	0.76535	491414	0	7
2015.06.28	0.76204	0.77377	0.75091	0.75203	570249	0	4
2015.07.05	0.74756	0.75321	0.73713	0.74375	601631	0	4
2015.07.12	0.74092	0.74877	0.73488	0.73779	593989	0	6
2015.07.19	0.73764	0.74490	0.72594	0.72837	809964	246976804000	5
2015.07.26	0.72695	0.73662	0.72342	0.72978	671859	793938353000	4
2015.08.02	0.73157	0.74281	0.72596	0.74179	706342	827774572000	6
2015.08.09	0.74112	0.74390	0.72143	0.73726	502464	528743069000	6
2015.08.16	0.73721	0.73887	0.72844	0.73102	688795	803885276000	9
2015.08.23	0.72983	0.73111	0.70404	0.71694	772796	761121444000	9
2015.08.30	0.71504	0.71623	0.69075	0.69079	644469	769225266000	9
2015.09.06	0.69216	0.70992	0.69113	0.70903	570044	683969756000	9
2015.09.13	0.70797	0.72796	0.70628	0.71876	491210	606274111000	0
2015.09.20	0.71829	0.71967	0.69381	0.70250	478651	616376637000	9
2015.09.27	0.70257	0.70844	0.69362	0.70505	488273	601202398000	7
2015.10.04	0.70544	0.73436	0.70419	0.73323	525186	692464351000	8
2015.10.11	0.73154	0.73817	0.71981	0.72704	523744	670461229000	0
2015.10.18	0.72554	0.73069	0.71822	0.72157	454094	597470204000	0
2015.10.25	0.72090	0.72691	0.70672	0.71331	490070	585810559000	0
2015.11.01	0.71146	0.72237	0.70224	0.70408	530298	655419859000	0
2015.11.08	0.70251	0.71586	0.70156	0.71263	571154	683557353000	0
2015.11.15	0.71185	0.72499	0.70684	0.72364	559061	662444768000	0
2015.11.22	0.72287	0.72825	0.71588	0.71898	582620	694499518000	0
2015.11.29	0.71913	0.73849	0.71700	0.73363	635090	748718971000	0
2015.12.06	0.73384	0.73421	0.71717	0.71836	565477	652680100000	0
2015.12.13	0.72009	0.72828	0.70966	0.71679	519089	525708542000	0
2015.12.20	0.71690	0.72801	0.71548	0.72671	281577	272378854000	0
2015.12.27	0.72741	0.73273	0.72447	0.72896	239577	239623694000	0
2016.01.03	0.72816	0.73006	0.69502	0.69502	599753	596187622000	0
2016.01.10	0.69691	0.70483	0.68266	0.68583	640292	672834828000	0
2016.01.17	0.68361	0.70455	0.68277	0.70020	714758	773720777000	0
2016.01.24	0.70014	0.71407	0.69183	0.70825	756669	869423011000	0
2016.01.31	0.70796	0.72423	0.70023	0.70634	662466	751648885000	0
2016.02.07	0.70672	0.71529	0.69731	0.70976	674192	709008831000	0
2016.02.14	0.71004	0.71865	0.70687	0.71473	539875	547098603000	0
2016.02.21	0.71556	0.72587	0.71177	0.71220	587178	671245280000	0
2016.02.28	0.71211	0.74426	0.71084	0.74360	682585	783250336000	0
2016.03.06	0.74021	0.75830	0.73921	0.75596	633943	679587302000	0
2016.03.13	0.75478	0.76797	0.74143	0.75977	596815	639114948000	0
2016.03.20	0.75944	0.76483	0.74768	0.75045	479731	473281536000	0
2016.03.27	0.75094	0.77224	0.74928	0.76759	590975	833620164000	0
2016.04.03	0.76695	0.76778	0.74914	0.75398	615137	740029728000	0
2016.04.10	0.75400	0.77366	0.75277	0.77204	605389	763934746000	0
2016.04.17	0.76477	0.78342	0.76309	0.77073	598048	634680714000	0
2016.04.24	0.76920	0.77649	0.75480	0.76055	538486	547777968000	0
2016.05.01	0.75946	0.77194	0.73371	0.73638	600277	688065862000	0
2016.05.08	0.73530	0.74016	0.72535	0.72697	516688	643642078000	0
2016.05.15	0.72466	0.73659	0.71761	0.72208	503069	614230129000	0
2016.05.22	0.72181	0.72595	0.71447	0.71835	450801	551864877000	0
2016.05.29	0.71761	0.73679	0.71483	0.73651	516560	703529940000	0
2016.06.05	0.73665	0.75039	0.73148	0.73744	543513	779770437000	0
2016.06.12	0.73745	0.74455	0.72849	0.73721	598728	809162457000	0
2016.06.19	0.73881	0.76438	0.73040	0.74647	583124	755857784000	0
2016.06.26	0.74183	0.75026	0.73242	0.74969	652481	793476306000	0
2016.07.03	0.74441	0.75730	0.74075	0.75599	591552	749063047000	0
2016.07.10	0.75617	0.76758	0.75213	0.75630	598001	789337264000	0
2016.07.17	0.75882	0.76061	0.74422	0.74623	548227	875622568000	0
2016.07.24	0.74591	0.76100	0.74202	0.75981	543330	695306186000	0
