<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.02.21	80.561	82.015	79.596	81.130	984114	960093075000	0
2016.02.28	81.149	84.924	79.800	84.580	1033728	1073680079000	0
2016.03.06	84.361	86.199	83.338	86.042	934200	959759397000	0
2016.03.13	85.980	86.398	83.892	84.740	903973	932428189000	0
2016.03.20	84.690	85.860	84.120	84.844	720428	774932664000	0
2016.03.27	84.997	86.693	84.854	85.710	795827	797265367000	0
2016.04.03	85.599	85.790	80.665	81.415	931728	859561481000	0
2016.04.10	81.430	84.765	81.071	83.966	850500	885197026000	0
2016.04.17	82.755	86.373	82.455	86.022	849671	796738686000	0
2016.04.24	86.063	86.297	80.807	80.828	832469	854889253000	0
2016.05.01	80.660	81.941	78.171	78.860	824583	926017303000	0
2016.05.08	78.778	80.640	78.737	78.829	764884	969679333000	0
2016.05.15	78.714	80.553	78.627	79.511	723868	908392516000	0
2016.05.22	79.472	79.740	78.302	79.188	681533	854950511000	0
2016.05.29	79.230	80.779	78.094	78.458	769977	1015580704000	0
2016.06.05	78.496	80.301	78.027	78.839	802371	1039653323000	0
2016.06.12	78.779	78.861	75.580	76.768	970019	1270623475000	0
2016.06.19	76.923	81.568	72.383	76.304	912045	1096774056000	0
2016.06.26	75.223	77.032	74.516	76.843	920879	1125871379000	0
2016.07.03	76.345	77.394	74.538	75.844	834246	1116662314000	0
2016.07.10	76.079	81.499	75.926	79.189	962868	1215235887000	0
2016.07.17	79.970	80.770	78.901	79.115	815372	1056854578000	0
2016.07.24	79.147	79.707	77.486	77.540	868589	1021541160000	0
2016.07.31	77.604	78.179	76.492	77.525	761135	835970048000	0
2016.08.07	77.607	78.666	77.325	77.466	596427	657322944000	0
2016.08.14	77.327	77.796	76.056	76.422	729616	830013665000	0
2016.08.21	76.583	77.186	76.095	76.875	721413	787671261000	0
2016.08.28	77.140	78.763	76.686	78.416	721303	743785364000	0
2016.09.04	78.749	79.119	77.269	77.269	776751	783432172000	0
2016.09.11	77.289	77.446	75.958	76.588	838819	836004139000	0
2016.09.18	76.421	77.519	76.125	76.745	764307	848902233000	0
2016.09.25	76.851	78.162	76.172	77.567	847664	883541317000	0
2016.10.02	77.474	79.009	77.352	78.005	827882	811179127000	0
2016.10.09	78.280	79.718	77.736	79.261	780618	770667604000	0
2016.10.16	79.436	80.004	78.712	78.927	701678	702229730000	0
2016.10.23	78.959	80.302	78.869	79.462	785237	734040903000	0
2016.10.30	79.441	80.625	78.465	79.034	853836	815572893000	0
2016.11.06	79.778	82.448	76.775	80.354	1209124	1077488241000	0
2016.11.13	80.582	82.598	80.333	81.238	1129362	997773487000	0
2016.11.20	81.294	84.608	81.129	84.059	980926	933907757000	0
2016.11.27	83.803	84.839	83.155	84.566	1067579	1074831827000	0
2016.12.04	84.164	86.081	83.764	85.675	917255	898172630000	0
2016.12.11	85.805	87.522	85.720	85.883	1064989	934135016000	0
2016.12.18	85.874	85.991	83.918	83.957	846399	828412739000	0
2016.12.25	84.147	84.884	82.523	83.965	656871	595451429000	0
2017.01.01	84.177	85.700	83.860	85.122	982513	922978479000	0
2017.01.08	85.241	86.270	85.015	85.626	1198553	1099373885000	0
2017.01.15	85.361	87.061	84.989	86.352	1222645	1131358508000	0
2017.01.22	86.312	87.662	84.618	86.770	1170443	1116288837000	0
2017.01.29	86.690	86.854	85.184	86.243	1102675	1048982533000	0
2017.02.05	86.302	87.174	85.230	86.799	991550	977608002000	0
2017.02.12	87.165	88.170	86.231	86.250	938130	931014794000	0
2017.02.19	86.571	87.382	85.837	85.837	839705	894733599000	0
2017.02.26	86.082	87.473	85.837	86.383	970788	1012489998000	0
2017.03.05	86.363	87.061	85.841	86.479	898227	962899510000	0
2017.03.12	86.598	87.479	86.487	86.819	870757	955051417000	0
2017.03.19	86.727	87.231	84.342	84.828	958325	1046251975000	0
2017.03.26	84.630	85.754	83.814	84.936	865338	981468753000	0
2017.04.02	84.892	85.074	82.785	83.085	877160	924518798000	0
2017.04.09	83.168	83.705	81.840	82.184	766118	792325449000	0
2017.04.16	82.353	82.942	81.410	82.073	740522	792134147000	0
2017.04.23	83.785	84.007	82.722	83.495	823734	880222199000	0
2017.04.30	83.128	84.529	82.663	83.525	673053	740366790000	0
2017.05.07	83.693	84.330	83.168	83.615	731277	826541103000	0
2017.05.14	83.617	84.508	81.761	82.879	875636	962755890000	0
2017.05.21	82.679	83.871	82.497	82.827	730317	727189499000	0
2017.05.28	82.714	82.958	81.878	81.900	641936	628994111000	0
2017.06.04	81.746	83.387	81.645	82.965	635984	0	21
2017.06.11	83.051	84.800	82.581	84.181	650862	0	21
2017.06.18	84.268	85.077	83.716	84.156	553041	0	21
2017.06.25	84.058	86.528	84.058	86.343	662395	0	21
2017.07.02	86.079	86.973	85.658	86.590	605934	0	21
2017.07.09	86.627	88.122	86.546	87.919	592507	0	21
2017.07.16	88.054	89.331	87.483	87.904	702870	0	21
2017.07.23	87.822	89.412	87.639	88.367	761533	0	21
2017.07.30	88.296	88.692	87.339	87.740	758521	0	21
2017.08.06	87.622	88.007	85.441	86.145	648079	0	21
2017.08.13	86.078	87.546	85.986	86.464	732424	0	21
2017.08.20	86.599	86.964	85.926	86.684	608826	0	21
2017.08.27	86.554	87.930	85.695	87.835	700888	0	21
2017.09.03	87.089	87.718	86.548	86.823	723256	0	21
2017.09.10	87.094	89.267	87.048	88.656	563937	2897289000	0
2017.09.17	88.806	90.299	88.462	88.942	492389	0	0
2017.09.24	89.222	89.678	87.923	88.065	563438	0	0
2017.10.01	88.132	88.737	87.189	87.189	457608	0	0
2017.10.08	87.438	88.312	87.246	88.236	401848	0	0
2017.10.15	88.124	88.992	87.774	88.609	456985	0	0
2017.10.22	89.036	89.077	87.033	87.235	542558	0	0
2017.10.29	87.266	88.095	86.688	87.235	497243	0	0
2017.11.05	87.193	87.694	86.787	86.873	492469	0	0
2017.11.12	86.818	87.089	84.639	84.785	470509	0	0
2017.11.19	84.870	85.313	84.499	84.908	411597	0	0
2017.11.26	84.919	85.714	84.349	85.303	574004	0	0
2017.12.03	85.637	86.200	84.664	85.190	470552	0	0
2017.12.10	85.239	86.491	85.170	86.075	424407	0	0
2017.12.17	86.160	87.523	85.895	87.302	542101	0	2
2017.12.24	87.430	88.157	87.382	87.980	347959	0	2
2017.12.31	87.877	89.087	87.630	88.889	428343	0	2
2018.01.07	88.960	89.070	87.211	87.916	743123	0	1
2018.01.14	87.790	89.017	87.668	88.515	865949	0	1
2018.01.21	88.402	89.066	87.705	88.041	920786	0	0
2018.01.28	88.061	88.494	87.226	87.290	992619	0	0
2018.02.04	87.169	87.509	84.006	85.006	1443191	0	1
2018.02.11	85.062	85.593	83.320	84.038	994851	0	1
2018.02.18	84.061	84.861	83.270	83.822	772255	0	1
2018.02.25	83.951	84.162	81.558	82.073	944141	0	1
2018.03.04	81.869	83.901	81.486	83.802	901909	0	1
2018.03.11	83.780	84.523	81.678	81.739	752980	0	1
2018.03.18	81.747	82.573	80.496	80.606	836250	0	1
2018.03.25	80.611	81.965	80.553	81.678	887329	0	1
2018.04.01	81.654	82.647	80.824	82.141	538611	0	1
2018.04.08	82.097	84.076	81.964	83.328	395489	0	1
2018.04.15	83.484	83.942	82.423	82.547	315772	0	1
2018.04.22	82.633	83.091	82.373	82.654	418560	0	1
2018.04.29	82.627	82.725	81.669	82.238	404204	0	1
2018.05.06	82.273	82.672	81.131	82.483	389539	0	1
2018.05.13	82.394	83.429	82.175	83.177	361930	0	1
2018.05.20	83.365	84.477	82.379	82.541	442947	0	1
2018.05.27	82.954	83.065	81.024	82.874	575408	0	1
2018.06.03	82.787	84.533	82.585	83.225	473982	0	1
2018.06.10	82.937	84.154	82.270	82.331	375591	0	1
2018.06.17	82.333	82.399	80.627	81.816	419402	0	1
